Symbols
A000050
A000060
A000070
A000080
A000100
A000120
A000140
A000150
A000210
A000240
A000270
A000370
A000400
A000480
A000540
A000640
A000660
A000670
A000680
A000700
A000720
A000800
A000810
A000830
A000880
A001040
A001120
A001130
A001200
A001210
A001230
A001260
A001300
A001430
A001440
A001450
A001500
A001510
A001520
A001630
A001680
A001720
A001740
A001800
A001830
A001940
A002000
A002020
A002240
A002270
A002320
A002350
A002380
A002550
A002790
A002990
A003000
A003070
A003240
A003300
A003330
A003410
A003450
A003470
A003480
A003490
A003520
A003530
A003540
A003550
A003560
A003570
A003600
A003620
A003670
A003690
A003920
A004000
A004010
A004020
A004150
A004170
A004200
A004370
A004490
A004550
A004690
A004800
A004940
A004980
A004990
A005180
A005250
A005270
A005280
A005300
A005380
A005440
A005490
A005620
A005810
A005830
A005850
A005880
A005930
A005940
A005960
A005990
A006040
A006120
A006260
A006280
A006350
A006360
A006380
A006400
A006650
A006730
A006800
A007070
A007310
A007570
A008000
A008060
A008560
A008770
A008930
A009150
A009410
A009540
A009830
A009970
A010060
A010120
A010130
A010140
A010520
A010620
A010950
A011070
A011160
A011170
A011200
A011210
A011760
A011780
A011790
A011810
A012330
A012450
A012630
A012650
A012750
A012990
A013580
A014620
A014900
A015750
A015760
A015940
A016360
A016380
A016420
A016610
A016800
A016880
A016990
A017390
A017670
A017800
A017940
A018000
A018670
A018880
A019680
A020000
A020150
A020560
A020760
A021240
A022100
A023160
A023410
A023530
A023590
A024110
A025860
A025900
A025930
A026960
A028050
A028080
A028150
A028670
A029480
A029530
A029780
A030000
A030200
A030210
A030530
A030610
A031430
A032350
A032390
A032640
A032710
A032830
A033630
A033640
A033780
A034020
A034120
A034220
A034230
A034730
A035080
A035250
A035420
A035720
A035760
A036030
A036460
A036490
A036550
A036570
A036830
A036930
A037150
A037560
A037620
A039130
A039490
A041510
A041960
A042100
A042420
A042660
A042670
A043890
A044490
A045710
A045820
A046890
A047040
A047050
A047810
A049370
A051310
A051370
A051600
A051900
A051910
A052690
A053000
A053210
A053660
A053800
A055550
A056190
A057050
A057330
A058650
A060000
A060310
A060980
A064420
A065410
A066270
A066570
A067250
A067280
A068270
A068870
A069080
A069260
A069620
A069960
A071050
A071320
A071660
A071840
A072710
A072870
A073240
A077360
A077970
A078160
A078520
A078930
A079160
A081660
A082270
A082640
A082740
A085660
A086280
A086790
A088350
A089240
A089480
A090430
A091700
A093050
A093370
A095660
A095720
A096530
A096770
A097230
A097950
A100130
A101060
A103130
A103140
A103150
A104700
A105560
A105630
A108070
A108320
A108670
A111770
A112040
A114090
A115390
A117930
A120110
A121440
A122870
A122900
A128940
A130960
A138930
A139130
A139480
A161390
A900050
A900140
A900150
